<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGN,20181024,132.00,137.50,132.00,137.50,120,132.00,137.50,132.00,137.50,0,0,0
SGN,20181023,132.00,132.10,132.00,132.00,2330,132.00,132.10,132.00,132.00,0,0,0
SGN,20181022,138.70,138.70,132.00,138.00,120,138.70,138.70,132.00,138.00,0,0,0
SGN,20181019,135.00,136.00,135.00,136.00,80,135.00,136.00,135.00,136.00,0,40,0
SGN,20181018,136.40,136.40,136.00,136.00,600,136.40,136.40,136.00,136.00,0,550,0
SGN,20181017,137.90,137.00,136.40,136.40,20,137.90,137.00,136.40,136.40,0,0,0
SGN,20181016,136.50,138.00,131.00,137.90,130,136.50,138.00,131.00,137.90,0,0,0
SGN,20181015,136.30,136.90,135.60,136.90,1690,136.30,136.90,135.60,136.90,0,0,0
SGN,20181012,135.60,137.00,135.60,137.00,120,135.60,137.00,135.60,137.00,0,0,0
SGN,20181011,137.00,137.80,136.20,137.00,500,137.00,137.80,136.20,137.00,0,0,200
SGN,20181010,137.00,139.00,137.00,139.00,210,137.00,139.00,137.00,139.00,0,0,200
SGN,20181009,137.00,139.80,137.00,139.80,120,137.00,139.80,137.00,139.80,0,0,0
SGN,20181008,136.50,137.90,136.50,137.90,720,136.50,137.90,136.50,137.90,0,0,0
SGN,20181005,138.80,138.80,138.00,138.00,860,138.80,138.80,138.00,138.00,0,20,0
SGN,20181004,138.00,138.90,138.00,138.80,280,138.00,138.90,138.00,138.80,0,0,0
SGN,20181003,138.00,138.00,138.00,138.00,590,138.00,138.00,138.00,138.00,0,0,0
SGN,20181002,138.00,139.00,137.30,138.00,1080,138.00,139.00,137.30,138.00,0,200,0
SGN,20181001,138.10,138.10,138.00,138.00,1170,138.10,138.10,138.00,138.00,0,200,0
SGN,20180928,139.80,143.00,138.00,138.00,1900,139.80,143.00,138.00,138.00,0,0,0
SGN,20180927,138.70,139.80,137.10,139.00,4390,138.70,139.80,137.10,139.00,0,3470,0
SGN,20180926,140.00,140.00,139.00,139.80,690,140.00,140.00,139.00,139.80,0,300,50
SGN,20180924,140.00,145.60,138.70,143.00,10190,140.00,145.60,138.70,143.00,0,190,0
SGN,20180921,139.70,140.00,139.50,139.80,670,139.70,140.00,139.50,139.80,0,0,0
SGN,20180920,139.70,139.70,139.70,139.70,10,139.70,139.70,139.70,139.70,0,0,0
SGN,20180919,140.00,141.00,139.50,140.00,16220,140.00,141.00,139.50,140.00,0,8900,1210
SGN,20180918,138.20,138.20,138.20,138.20,690,138.20,138.20,138.20,138.20,0,0,0
SGN,20180917,138.10,140.00,138.10,138.20,3120,138.10,140.00,138.10,138.20,0,2750,0
SGN,20180914,138.10,138.10,138.10,138.10,700,138.10,138.10,138.10,138.10,0,190,0
SGN,20180912,138.10,139.00,138.10,139.00,1790,138.10,139.00,138.10,139.00,0,1780,0
SGN,20180911,138.10,139.00,138.10,139.00,3110,138.10,139.00,138.10,139.00,0,2890,400
SGN,20180910,138.20,139.00,138.10,138.50,8680,138.20,139.00,138.10,138.50,0,7570,0
SGN,20180907,137.60,138.50,137.60,138.50,160,137.60,138.50,137.60,138.50,0,440,0
SGN,20180906,138.00,139.00,137.80,138.00,1430,138.00,139.00,137.80,138.00,0,440,0
SGN,20180905,137.80,139.00,137.80,139.00,100,137.80,139.00,137.80,139.00,0,0,0
SGN,20180904,139.00,139.00,139.00,139.00,1000,139.00,139.00,139.00,139.00,0,0,0
SGN,20180831,139.00,140.80,139.00,140.80,930,139.00,140.80,139.00,140.80,0,0,0
SGN,20180830,140.00,140.80,140.00,140.80,380,140.00,140.80,140.00,140.80,0,310,0
SGN,20180829,138.00,141.00,138.00,140.80,4890,138.00,141.00,138.00,140.80,0,4740,0
SGN,20180828,137.60,137.90,137.60,137.90,1130,137.60,137.90,137.60,137.90,0,1120,0
SGN,20180827,137.60,137.90,137.60,137.80,3800,137.60,137.90,137.60,137.80,0,3620,0
SGN,20180824,136.30,137.90,136.30,137.90,280,136.30,137.90,136.30,137.90,0,70,0
SGN,20180823,136.30,137.90,136.20,137.90,90,136.30,137.90,136.20,137.90,0,60,0
SGN,20180822,138.00,138.00,136.30,137.00,800,138.00,138.00,136.30,137.00,0,240,0
SGN,20180821,138.00,138.00,138.00,138.00,120,138.00,138.00,138.00,138.00,0,30,0
SGN,20180820,139.00,139.00,138.50,138.50,740,139.00,139.00,138.50,138.50,0,330,0
SGN,20180817,136.70,139.50,136.70,139.50,80,136.70,139.50,136.70,139.50,0,0,0
SGN,20180816,136.50,139.50,136.50,139.50,30,136.50,139.50,136.50,139.50,0,0,0
SGN,20180815,140.00,140.00,136.20,138.50,5680,140.00,140.00,136.20,138.50,0,2260,0
SGN,20180814,140.00,140.00,139.00,139.00,1100,140.00,140.00,139.00,139.00,0,330,0
SGN,20180813,139.00,140.00,139.00,140.00,1730,139.00,140.00,139.00,140.00,0,620,0
SGN,20180810,142.00,142.00,142.00,142.00,610,142.00,142.00,142.00,142.00,0,180,0
SGN,20180809,144.00,144.00,140.00,140.00,790,144.00,144.00,140.00,140.00,0,0,0
SGN,20180807,144.00,144.70,140.00,144.30,3750,144.00,144.70,140.00,144.30,0,2000,0
SGN,20180806,144.00,144.70,144.00,144.70,2820,144.00,144.70,144.00,144.70,0,2820,0
SGN,20180803,142.00,145.00,142.00,144.80,1050,142.00,145.00,142.00,144.80,0,400,0
SGN,20180802,145.00,145.00,144.00,145.00,3530,145.00,145.00,144.00,145.00,0,1380,0
SGN,20180720,142.70,146.00,142.00,146.00,2250,142.70,146.00,142.00,146.00,0,900,0
SGN,20180719,145.00,146.00,145.00,146.00,1550,145.00,146.00,145.00,146.00,0,300,0
SGN,20180718,142.00,143.20,142.00,143.00,2069,142.00,143.20,142.00,143.00,0,1000,0
SGN,20180717,142.30,142.30,142.10,142.10,702,142.30,142.30,142.10,142.10,68,0,0
SGN,20180716,143.00,143.00,142.00,142.00,500,143.00,143.00,142.00,142.00,0,0,100
SGN,20180713,146.00,149.00,146.00,149.00,2700,146.00,149.00,146.00,149.00,0,2700,400
SGN,20180712,147.00,148.00,147.00,147.00,5100,147.00,148.00,147.00,147.00,0,5000,1500
SGN,20180711,145.00,151.00,145.00,145.00,2025,145.00,151.00,145.00,145.00,0,1600,0
SGN,20180710,142.00,142.00,142.00,142.00,490,142.00,142.00,142.00,142.00,0,0,0
SGN,20180709,140.00,140.00,140.00,140.00,710,140.00,140.00,140.00,140.00,0,700,0
SGN,20180706,138.10,138.10,138.10,138.10,150,138.10,138.10,138.10,138.10,0,0,0
SGN,20180705,137.00,140.00,137.00,140.00,5241,137.00,140.00,137.00,140.00,0,5000,0
SGN,20180703,134.00,137.00,134.00,136.50,2490,134.00,137.00,134.00,136.50,0,2000,0
SGN,20180702,133.00,135.00,133.00,134.00,11730,133.00,135.00,133.00,134.00,0,11100,10700
SGN,20180629,133.00,134.00,133.00,134.00,6800,133.00,134.00,133.00,134.00,0,4100,0
SGN,20180628,132.50,132.50,132.00,132.00,1710,132.50,132.50,132.00,132.00,0,1400,0
SGN,20180627,132.00,132.00,131.00,132.00,3000,132.00,132.00,131.00,132.00,0,0,0
SGN,20180626,136.80,138.00,136.60,138.00,1100,136.80,138.00,136.60,138.00,0,100,100
SGN,20180625,136.00,139.00,136.00,139.00,1500,136.00,139.00,136.00,139.00,0,900,0
SGN,20180622,130.20,130.20,130.10,130.10,620,130.20,130.20,130.10,130.10,0,300,0
SGN,20180621,141.40,141.40,140.00,140.00,700,141.40,141.40,140.00,140.00,0,200,0
SGN,20180620,141.50,142.00,140.00,140.00,2400,141.50,142.00,140.00,140.00,0,1000,1500
SGN,20180619,141.50,141.60,141.40,141.50,2410,141.50,141.60,141.40,141.50,0,1710,0
SGN,20180618,142.80,142.80,142.50,142.70,1410,142.80,142.80,142.50,142.70,0,610,0
SGN,20180615,142.50,143.00,142.50,143.00,1730,142.50,143.00,142.50,143.00,0,0,0
SGN,20180614,141.60,142.00,141.60,142.00,6410,141.60,142.00,141.60,142.00,0,2700,400
SGN,20180613,142.00,142.00,141.50,141.50,2160,142.00,142.00,141.50,141.50,0,500,0
SGN,20180612,141.20,141.50,141.20,141.50,800,141.20,141.50,141.20,141.50,0,500,200
SGN,20180611,141.50,141.80,141.50,141.80,1800,141.50,141.80,141.50,141.80,0,100,200
SGN,20180608,142.00,142.00,141.00,141.50,1100,142.00,142.00,141.00,141.50,0,300,200
SGN,20180607,140.60,140.60,140.60,140.60,100,140.60,140.60,140.60,140.60,0,0,0
SGN,20180606,140.80,142.00,140.20,140.20,1600,140.80,142.00,140.20,140.20,0,700,200
SGN,20180605,140.60,140.60,140.60,140.60,200,140.60,140.60,140.60,140.60,0,0,200
SGN,20180604,140.00,140.00,140.00,140.00,300,140.00,140.00,140.00,140.00,0,300,0
SGN,20180601,140.00,140.00,139.30,139.30,200,140.00,140.00,139.30,139.30,0,0,0
SGN,20180531,138.70,140.00,138.70,140.00,2300,138.70,140.00,138.70,140.00,0,2000,0
SGN,20180530,138.00,140.00,138.00,139.50,1400,138.00,140.00,138.00,139.50,0,1000,0
SGN,20180529,140.00,140.00,136.00,136.50,1330,140.00,140.00,136.00,136.50,0,300,200
SGN,20180528,149.90,149.90,136.00,136.10,1500,149.90,149.90,136.00,136.10,0,900,0
SGN,20180525,145.50,145.50,145.10,145.10,400,145.50,145.50,145.10,145.10,0,100,0
SGN,20180524,145.10,145.10,145.00,145.00,500,145.10,145.10,145.00,145.00,0,100,0
SGN,20180523,146.00,146.00,146.00,146.00,200,146.00,146.00,146.00,146.00,0,0,0
SGN,20180522,145.20,145.20,145.20,145.20,100,145.20,145.20,145.20,145.20,0,0,0
SGN,20180521,150.00,150.00,150.00,150.00,100,150.00,150.00,150.00,150.00,0,100,0
SGN,20180518,148.00,148.00,142.00,142.00,1500,148.00,148.00,142.00,142.00,0,1000,0
SGN,20180517,147.80,150.00,147.80,148.00,1911,147.80,150.00,147.80,148.00,0,800,0
SGN,20180516,150.00,152.00,150.00,152.00,2640,150.00,152.00,150.00,152.00,0,1600,40
SGN,20180515,151.00,151.00,151.00,151.00,130,151.00,151.00,151.00,151.00,0,0,0
SGN,20180514,152.00,152.00,152.00,152.00,11,152.00,152.00,152.00,152.00,0,0,0
SGN,20180511,152.00,152.00,152.00,152.00,200,152.00,152.00,152.00,152.00,0,200,0
SGN,20180510,153.00,153.00,149.00,149.00,710,153.00,153.00,149.00,149.00,0,0,0
SGN,20180509,154.00,157.00,154.00,157.00,1200,154.00,157.00,154.00,157.00,0,100,0
SGN,20180508,148.00,160.00,148.00,160.00,2000,148.00,160.00,148.00,160.00,0,2000,0
SGN,20180507,145.00,150.00,145.00,150.00,1000,145.00,150.00,145.00,150.00,0,1000,0
SGN,20180504,144.00,150.00,144.00,150.00,12058,144.00,150.00,144.00,150.00,0,12000,0
SGN,20180503,141.60,142.00,141.00,141.00,1400,141.60,142.00,141.00,141.00,0,800,0
SGN,20180502,143.00,143.00,141.00,141.00,1600,143.00,143.00,141.00,141.00,0,400,0
SGN,20180427,141.00,142.00,140.00,142.00,820,141.00,142.00,140.00,142.00,0,0,0
SGN,20180426,141.00,141.00,138.00,139.00,4800,141.00,141.00,138.00,139.00,0,100,0
SGN,20180424,141.00,141.00,141.00,141.00,610,141.00,141.00,141.00,141.00,0,10,0
SGN,20180423,141.70,142.00,141.00,141.00,2200,141.70,142.00,141.00,141.00,0,1300,300
SGN,20180420,140.00,141.00,140.00,140.60,3420,140.00,141.00,140.00,140.60,0,100,900
SGN,20180419,142.00,142.00,140.00,140.00,8900,142.00,142.00,140.00,140.00,0,5000,0
SGN,20180418,141.00,144.50,141.00,144.50,1000,141.00,144.50,141.00,144.50,52,1000,0
SGN,20180417,144.00,145.00,140.00,144.00,2624,144.00,145.00,140.00,144.00,0,800,100
SGN,20180416,142.00,142.00,140.00,140.00,2600,142.00,142.00,140.00,140.00,0,300,0
SGN,20180413,139.80,140.00,139.80,140.00,532,139.80,140.00,139.80,140.00,0,500,0
SGN,20180411,139.00,139.10,139.00,139.00,2300,139.00,139.10,139.00,139.00,0,0,0
SGN,20180410,139.00,139.50,139.00,139.50,1400,139.00,139.50,139.00,139.50,0,0,0
SGN,20180409,140.00,140.00,140.00,140.00,400,140.00,140.00,140.00,140.00,0,0,0
SGN,20180406,138.70,138.70,138.70,138.70,500,138.70,138.70,138.70,138.70,0,0,0
SGN,20180405,138.00,138.00,138.00,138.00,100,138.00,138.00,138.00,138.00,0,0,0
SGN,20180404,138.00,138.00,137.00,138.00,2500,138.00,138.00,137.00,138.00,0,200,0
