<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TBD,20181018,76.00,76.00,76.00,76.00,1000,76.00,76.00,76.00,76.00,0,0,0
TBD,20181015,76.00,76.00,76.00,76.00,126,76.00,76.00,76.00,76.00,6196,0,0
TBD,20181011,72.00,73.00,72.00,73.00,200,72.00,73.00,72.00,73.00,0,0,0
TBD,20181009,72.00,72.00,72.00,72.00,100,72.00,72.00,72.00,72.00,0,0,0
TBD,20181008,74.50,74.50,74.50,74.50,600,74.50,74.50,74.50,74.50,0,0,0
TBD,20181004,77.00,77.00,77.00,77.00,1020,77.00,77.00,77.00,77.00,0,0,0
TBD,20181001,74.75,74.75,74.75,74.75,11,76.00,76.00,76.00,76.00,0,0,0
TBD,20180927,74.75,74.75,74.75,74.75,18,76.00,76.00,76.00,76.00,0,0,0
TBD,20180925,74.75,74.75,74.75,74.75,13,76.00,76.00,76.00,76.00,0,0,0
TBD,20180924,74.75,74.75,74.75,74.75,100,76.00,76.00,76.00,76.00,0,0,0
TBD,20180913,74.75,74.75,74.75,74.75,300,76.00,76.00,76.00,76.00,0,0,0
TBD,20180907,74.75,74.75,74.75,74.75,173,76.00,76.00,76.00,76.00,0,0,0
TBD,20180906,75.54,75.64,64.43,64.42,7864,76.80,76.90,65.50,65.50,0,0,0
TBD,20180905,68.06,68.36,68.06,68.36,5,69.20,69.50,69.20,69.50,14969,0,0
TBD,20180904,68.06,68.06,68.06,68.06,86,69.20,69.20,69.20,69.20,0,0,0
TBD,20180830,67.97,68.36,67.97,68.36,359,69.10,69.50,69.10,69.50,0,0,0
TBD,20180829,69.73,69.73,69.73,69.74,10,70.90,70.90,70.90,70.90,500000,0,0
TBD,20180828,69.83,78.69,66.88,66.88,5500,71.00,80.00,68.00,68.00,0,0,0
TBD,20180827,76.72,77.21,76.72,77.21,1500,78.00,78.50,78.00,78.50,0,0,0
TBD,20180824,75.73,76.72,75.73,76.72,622,77.00,78.00,77.00,78.00,0,0,0
TBD,20180823,71.80,77.21,71.80,77.21,3600,73.00,78.50,73.00,78.50,0,0,0
TBD,20180822,76.23,76.23,76.23,76.23,300,77.50,77.50,77.50,77.50,0,0,0
TBD,20180821,75.24,75.73,68.85,75.74,8170,76.50,77.00,70.00,77.00,0,0,0
TBD,20180820,75.24,75.24,75.24,75.24,12,76.50,76.50,76.50,76.50,0,0,0
TBD,20180817,75.24,75.24,75.24,75.24,200,76.50,76.50,76.50,76.50,0,0,0
TBD,20180815,74.26,74.26,74.26,74.26,300,75.50,75.50,75.50,75.50,5400,0,0
TBD,20180813,75.05,75.05,75.05,75.05,1500,76.30,76.30,76.30,76.30,0,0,0
TBD,20180809,75.05,75.05,75.05,75.05,300,76.30,76.30,76.30,76.30,0,0,0
TBD,20180808,74.75,75.05,74.75,75.05,1873,76.00,76.30,76.00,76.30,1900,0,0
TBD,20180807,70.82,74.76,70.82,74.75,18600,72.00,76.00,72.00,76.00,0,0,0
TBD,20180803,65.50,76.72,65.50,76.72,3100,66.60,78.00,66.60,78.00,0,0,0
TBD,20180802,73.76,75.14,73.76,74.65,2000,75.00,76.40,75.00,75.90,0,0,0
TBD,20180801,68.85,75.73,68.85,75.24,2500,70.00,77.00,70.00,76.50,0,0,0
TBD,20180731,75.24,75.24,75.14,75.24,1700,76.50,76.50,76.40,76.50,0,0,0
TBD,20180730,64.62,74.75,64.62,74.75,6804,65.70,76.00,65.70,76.00,8981,0,0
TBD,20180726,73.77,74.75,73.77,74.75,800,75.00,76.00,75.00,76.00,0,0,0
TBD,20180725,73.77,74.75,73.77,74.75,500,75.00,76.00,75.00,76.00,522409,0,0
TBD,20180723,65.40,65.40,65.40,65.41,100,66.50,66.50,66.50,66.50,7600,0,0
TBD,20180720,71.80,72.78,71.80,72.78,400,73.00,74.00,73.00,74.00,0,0,0
TBD,20180719,75.25,75.25,75.25,75.24,100,76.50,76.50,76.50,76.50,0,0,0
TBD,20180716,76.23,76.23,76.23,76.23,138,77.50,77.50,77.50,77.50,15500,0,0
TBD,20180713,76.23,76.23,76.23,76.23,100,77.50,77.50,77.50,77.50,0,0,0
TBD,20180712,70.13,70.13,70.13,70.13,256,71.30,71.30,71.30,71.30,1000000,0,0
TBD,20180711,60.98,60.98,60.98,60.98,2500,62.00,62.00,62.00,62.00,20344,0,0
TBD,20180710,66.88,77.90,66.88,77.90,2400,68.00,79.20,68.00,79.20,0,0,0
TBD,20180709,74.75,74.75,74.65,74.65,5100,76.00,76.00,75.90,75.90,0,0,3600
TBD,20180706,74.66,74.66,74.66,74.65,600,75.90,75.90,75.90,75.90,16225,0,0
TBD,20180705,70.81,70.81,70.81,70.82,1501,72.00,72.00,72.00,72.00,0,0,0
TBD,20180704,78.19,78.19,78.19,78.19,3300,79.50,79.50,79.50,79.50,0,0,0
TBD,20180702,78.78,78.78,78.78,78.78,40,80.10,80.10,80.10,80.10,0,0,0
