,Street_One,Street_Two,Street_Two_Address,Coordinates,Latitude,Longitude
0,MISSION ST,ITALY AVE,"ITALY AVE, San Francisco, USA","Italy Avenue, Excelsior, SF, California, 94112, USA",37.7165755,-122.4355516
1,MISSION ST,NEW MONTGOMERY ST,"NEW MONTGOMERY ST, San Francisco, USA","New Montgomery Street, Union Square, SF, California, 94105, USA",37.7877045,-122.4008211
2,MISSION ST,01ST ST,"01ST ST, San Francisco, USA",,,
3,MISSION ST,20TH ST,"20TH ST, San Francisco, USA","20th Street, Liberty Street Historic District, SF, California, 94114, USA",37.7579605,-122.4302713
4,MISSION ST,FREMONT ST,"FREMONT ST, San Francisco, USA","Fremont Street, Financial District, SF, California, 94105, USA",37.7885893,-122.3943132
5,MISSION ST,13TH ST,"13TH ST, San Francisco, USA","SF, California, USA",37.7792808,-122.4192363
6,MISSION ST,ERIE ST,"ERIE ST, San Francisco, USA","Erie Street, Hayes Valley, SF, California, 94103, USA",37.7690868,-122.4195415
7,MISSION ST,BEALE ST,"BEALE ST, San Francisco, USA","Beale Street, South Beach, SF, California, 94017, USA",37.7865573,-122.3900592
8,MISSION ST,FAIR AVE,"FAIR AVE, San Francisco, USA","Fair Avenue, Bernal Heights, SF, California, CA 94110, USA",37.7453559,-122.4192941
9,MISSION ST,SAINT MARYS AVE,"SAINT MARYS AVE, San Francisco, USA","Saint Mary's Avenue, St. Mary's Park, SF, California, CA 94110, USA",37.7345217,-122.427413
10,MISSION ST,SENECA AVE,"SENECA AVE, San Francisco, USA","Seneca Avenue, Excelsior, SF, California, 94112, USA",37.7200385,-122.4426659
11,MISSION ST,ANTHONY ST,"ANTHONY ST, San Francisco, USA","Anthony Street, Financial District, SF, California, 94105, USA",37.7888215,-122.3999463
12,MISSION ST,JESSIE EAST ST,"JESSIE EAST ST, San Francisco, USA","Jessie East, Union Square, SF, California, 94104, USA",37.7839997,-122.4048687
13,MISSION ST,SILVER AVE,"SILVER AVE, San Francisco, USA","Silver Avenue, Silver Terrace, SF, California, 94124, USA",37.7326957,-122.4052459
14,MISSION ST,MOUNT VERNON AVE,"MOUNT VERNON AVE, San Francisco, USA","Mount Vernon Avenue, Ingleside, SF, California, 94112, USA",37.7199632,-122.4523522
15,MISSION ST,30TH ST,"30TH ST, San Francisco, USA","30th Street, Glen Park, SF, California, CA 94110, USA",37.7417932,-122.4320638
16,MISSION ST,MAIN ST,"MAIN ST, San Francisco, USA","Main Street, South Beach, SF, California, 94017, USA",37.7878679,-122.3899612
17,MISSION ST,TRUMBULL ST,"TRUMBULL ST, San Francisco, USA","Trumbull Street, St. Mary's Park, SF, California, 94112, USA",37.7307687,-122.4289003
